n,pA,pB,pearson_chi,n1_chi,yates_chi,ex_val,ft2,blaker_val,how_1M,how_NM,Alpha = 0.05,Alpha = 0.01,Alpha = 0.001
100,0.0001,0.0001,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0,0,0
100,0.000103045,0.0001,0.998,0.998,1.000,1.000,1.000,1.000,1.000,1.000,0,0,0
100,0.000109417,0.0001,0.995,0.995,1.000,1.000,1.000,1.000,1.000,1.000,0,0,0
100,0.000119722,0.0001,0.989,0.989,1.000,1.000,1.000,1.000,1.000,1.000,0,0,0
100,0.0005,0.0005,1.000,1.000,1.000,1.000,1.000,1.000,0.999,1.000,0,0,0
100,0.000515227,0.0005,0.996,0.996,1.000,1.000,1.000,1.000,1.000,0.999,0,0,0
100,0.000547087,0.0005,0.988,0.988,1.000,1.000,1.000,1.000,1.000,1.000,0,0,0
100,0.000598609,0.0005,0.976,0.976,1.000,1.000,1.000,1.000,0.997,0.999,0,0,0
100,0.001,0.001,1.000,1.000,1.000,1.000,1.000,1.000,0.992,1.000,0,0,0
100,0.001030455,0.001,0.995,0.995,1.000,1.000,1.000,1.000,0.989,1.000,0,0,0
100,0.001094174,0.001,0.984,0.984,1.000,1.000,1.000,1.000,0.984,0.997,0,0,0
100,0.001197217,0.001,0.966,0.967,1.000,1.000,1.000,1.000,0.997,0.998,0,0,0
100,0.03,0.03,1.000,1.000,1.000,1.000,1.000,1.000,0.823,0.991,0,0,0
100,0.030913636,0.03,0.970,0.970,1.000,1.000,1.000,1.000,0.836,0.967,0,0,0
100,0.032825229,0.03,0.909,0.909,1.000,1.000,1.000,1.000,0.837,0.913,0,0,0
100,0.035916521,0.03,0.815,0.816,1.000,1.000,1.000,1.000,0.844,0.801,0,0,0
1000,0.0001,0.0001,1.000,1.000,1.000,1.000,1.000,1.000,0.992,1.000,0,0,0
1000,0.000103045,0.0001,0.995,0.995,1.000,1.000,1.000,1.000,0.985,0.998,0,0,0
1000,0.000109417,0.0001,0.984,0.984,1.000,1.000,1.000,1.000,0.989,0.994,0,0,0
1000,0.000119722,0.0001,0.966,0.966,1.000,1.000,1.000,1.000,0.990,0.993,0,0,0
1000,0.0005,0.0005,1.000,1.000,1.000,1.000,1.000,1.000,0.911,0.998,0,0,0
1000,0.000515227,0.0005,0.988,0.988,1.000,1.000,1.000,1.000,0.870,0.968,0,0,0
1000,0.000547087,0.0005,0.963,0.963,1.000,1.000,1.000,1.000,0.908,0.917,0,0,0
1000,0.000598609,0.0005,0.925,0.925,1.000,1.000,1.000,1.000,0.882,0.884,0,0,0
1000,0.001,0.001,1.000,1.000,1.000,1.000,1.000,1.000,0.845,0.996,0,0,0
1000,0.001030455,0.001,0.983,0.983,1.000,1.000,1.000,1.000,0.839,0.910,0,0,0
1000,0.001094174,0.001,0.948,0.948,1.000,1.000,1.000,1.000,0.793,0.832,0,0,0
1000,0.001197217,0.001,0.894,0.894,1.000,1.000,1.000,1.000,0.813,0.821,0,0,0
1000,0.03,0.03,1.000,1.000,1.000,1.000,1.000,1.000,0.947,0.998,0,0,0
1000,0.030913636,0.03,0.905,0.905,1.000,1.000,1.000,1.000,0.932,0.888,0,0,0
1000,0.032825229,0.03,0.717,0.717,0.815,0.798,0.798,0.798,0.740,0.723,0,0,0
1000,0.035916521,0.03,0.459,0.459,0.538,0.532,0.532,0.532,0.463,0.467,0,0,0
10000,0.0001,0.0001,1.000,1.000,1.000,1.000,1.000,1.000,0.840,0.999,0,0,0
10000,0.000103045,0.0001,0.983,0.983,1.000,1.000,1.000,1.000,0.844,0.854,0,0,0
10000,0.000109417,0.0001,0.948,0.948,1.000,1.000,1.000,1.000,0.834,0.828,0,0,0
10000,0.000119722,0.0001,0.894,0.894,1.000,1.000,1.000,1.000,0.823,0.832,0,0,0
10000,0.0005,0.0005,1.000,1.000,1.000,1.000,1.000,1.000,0.883,1.000,0,0,0
10000,0.000515227,0.0005,0.962,0.962,1.000,1.000,1.000,1.000,0.874,0.880,0,0,0
10000,0.000547087,0.0005,0.884,0.884,1.000,1.000,1.000,1.000,0.865,0.853,0,0,0
10000,0.000598609,0.0005,0.766,0.766,1.000,1.000,1.000,1.000,0.814,0.783,0,0,0
10000,0.001,0.001,1.000,1.000,1.000,1.000,1.000,1.000,0.927,1.000,0,0,0
10000,0.001030455,0.001,0.946,0.946,1.000,1.000,1.000,1.000,0.900,0.922,0,0,0
10000,0.001094174,0.001,0.837,0.837,1.000,1.000,1.000,1.000,0.864,0.854,0,0,0
10000,0.001197217,0.001,0.674,0.674,0.836,0.832,0.832,0.832,0.709,0.662,0,0,0
10000,0.03,0.03,1.000,1.000,1.000,1.000,1.000,1.000,0.980,1.000,0,0,0
10000,0.030913636,0.03,0.707,0.707,0.738,0.742,0.742,0.742,0.710,0.698,0,0,0
10000,0.032825229,0.03,0.252,0.252,0.269,0.274,0.274,0.274,0.219,0.262,0,0,0
10000,0.035916521,0.03,0.019,0.019,0.021,0.022,0.022,0.022,0.021,0.013,1,0,0
100000,0.0001,0.0001,1.000,1.000,1.000,1.000,1.000,1.000,0.921,1.000,0,0,0
100000,0.000103045,0.0001,0.946,0.946,1.000,1.000,1.000,1.000,0.911,0.909,0,0,0
100000,0.000109417,0.0001,0.837,0.837,1.000,1.000,1.000,1.000,0.883,0.857,0,0,0
100000,0.000119722,0.0001,0.674,0.674,0.836,0.832,0.832,0.832,0.702,0.697,0,0,0
100000,0.0005,0.0005,1.000,1.000,1.000,1.000,1.000,1.000,0.959,1.000,0,0,0
100000,0.000515227,0.0005,0.880,0.880,0.959,0.921,0.921,0.921,0.900,0.889,0,0,0
100000,0.000547087,0.0005,0.645,0.645,0.717,0.696,0.696,0.696,0.652,0.631,0,0,0
100000,0.000598609,0.0005,0.347,0.347,0.398,0.391,0.391,0.391,0.349,0.352,0,0,0
100000,0.001,0.001,1.000,1.000,1.000,1.000,1.000,1.000,0.977,1.000,0,0,0
100000,0.001030455,0.001,0.831,0.831,0.886,0.888,0.888,0.888,0.820,0.829,0,0,0
100000,0.001094174,0.001,0.515,0.515,0.561,0.580,0.580,0.580,0.524,0.497,0,0,0
100000,0.001197217,0.001,0.183,0.183,0.206,0.200,0.200,0.200,0.181,0.168,0,0,0
100000,0.03,0.03,1.000,1.000,1.000,1.000,1.000,1.000,0.996,1.000,0,0,0
100000,0.030913636,0.03,0.234,0.234,0.240,0.242,0.242,0.242,0.247,0.237,0,0,0
100000,0.032825229,0.03,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,1,1,0.875
100000,0.035916521,0.03,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,1,1