dates,t,Daily Cases,Recovered,Deaths
14-Mar-20,0,1,0,0
15-Mar-20,1,0,0,0
16-Mar-20,2,0,0,0
17-Mar-20,3,0,0,0
18-Mar-20,4,1,0,0
19-Mar-20,5,0,0,1
20-Mar-20,6,1,0,0
21-Mar-20,7,10,0,0
22-Mar-20,8,8,0,0
23-Mar-20,9,2,0,0
24-Mar-20,10,6,0,0
25-Mar-20,11,2,0,0
26-Mar-20,12,2,0,0
27-Mar-20,13,5,1,0
28-Mar-20,14,0,0,0
29-Mar-20,15,0,0,0
30-Mar-20,16,3,0,2
31-Mar-20,17,1,0,1
01-Apr-20,18,4,0,0
02-Apr-20,19,1,0,1
03-Apr-20,20,6,0,0
04-Apr-20,21,12,2,0
05-Apr-20,22,3,1,2
06-Apr-20,23,11,0,0
07-Apr-20,24,20,10,1
08-Apr-20,25,7,0,1
09-Apr-20,26,24,4,1
10-Apr-20,27,21,2,1
11-Apr-20,28,7,0,1
12-Apr-20,29,12,3,0
13-Apr-20,30,6,2,0
14-Apr-20,31,8,2,1
15-Apr-20,32,2,0,0
16-Apr-20,33,11,2,1
17-Apr-20,34,14,1,0
18-Apr-20,35,23,1,2
19-Apr-20,36,10,6,0
20-Apr-20,37,1,1,0
21-Apr-20,38,6,11,0
22-Apr-20,39,27,4,0
23-Apr-20,40,5,13,1
24-Apr-20,41,15,4,0
25-Apr-20,42,10,2,0
26-Apr-20,43,14,12,1
27-Apr-20,44,8,14,1
28-Apr-20,45,12,3,0
29-Apr-20,46,33,0,0
30-Apr-20,47,21,3,1
01-May-20,48,21,4,0
02-May-20,49,38,4,0
03-May-20,50,66,5,1
04-May-20,51,26,11,2
05-May-20,52,44,5,2
06-May-20,53,15,2,2
07-May-20,54,24,14,1
08-May-20,55,17,3,1
09-May-20,56,6,5,2
10-May-20,57,12,9,0
11-May-20,58,11,2,0
12-May-20,59,37,3,1
13-May-20,60,10,29,0
14-May-20,61,11,23,0
15-May-20,62,-3,82,0
16-May-20,63,14,952,0
17-May-20,64,18,109,3
18-May-20,65,16,181,2
19-May-20,66,22,95,1
20-May-20,67,3,152,0
21-May-20,68,23,25,1
22-May-20,69,1,28,0
23-May-20,70,16,23,0
24-May-20,71,15,28,1
25-May-20,72,21,15,0
26-May-20,73,25,5,0
27-May-20,74,33,0,0
28-May-20,75,19,28,0
29-May-20,76,39,3,2
30-May-20,77,36,18,2
31-May-20,78,30,20,1
01-Jun-20,79,38,13,-1
02-Jun-20,80,41,17,2
03-Jun-20,81,34,12,1
04-Jun-20,82,39,14,0
05-Jun-20,83,46,26,1
06-Jun-20,84,54,23,2
07-Jun-20,85,93,14,1
08-Jun-20,86,55,22,2
09-Jun-20,87,56,39,2
10-Jun-20,88,86,65,0
11-Jun-20,89,82,27,4
12-Jun-20,90,99,23,4
13-Jun-20,91,77,45,2
14-Jun-20,92,77,29,2
15-Jun-20,93,127,87,4
16-Jun-20,94,104,18,1